exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
14,16384.0,1612.0,-0.000620347394540943,2.2866531276758586,2.2872734750704,1.933176960860236,1.933797308254777,-0.0006203473945409429,8.409384052680006e-19,-0.0006203473945409444,-0.0006203473945409425,-0.1289276557823492
15,32768.0,3030.0,-0.00033003300330032895,2.4059328904297503,2.4062629234330504,1.996901965764554,1.9972319987678542,-0.0003300330033003306,1.665582981403388e-19,-0.00033003300330033074,-0.00033003300330033047,9.76416832356179
16,65536.0,5709.0,-0.00017516202487300754,2.5163364919845517,2.516511654009425,2.0749438278792036,2.0751189899040767,-0.00017516202487300765,1.4403983925294201e-19,-0.00017516202487300782,-0.00017516202487300754,0.7527099294949814
