exp,X,mod,symbol,n,B1_bits_per_gap,Btr_bits_per_gap,U_bits_per_gap,Btr_gain_vs_B1,U_gain_vs_Btr,U_gain_vs_B1,final_ctw_weight
15.0,32768.0,30.0,next_unit_residue_mod_30,3030.0,2.2268817153066163,2.2279709232824145,2.228300956285715,-0.0010892079757922068,-0.0003300330033003294,-0.001419240979092536,0.0
16.0,65536.0,30.0,next_unit_residue_mod_30,5709.0,2.3407989860311145,2.3421814641322682,2.342356626157141,-0.001382478101147859,-0.0001751620248730071,-0.0015576401260208664,0.0
17.0,131072.0,30.0,next_unit_residue_mod_30,10749.0,2.451310797890532,2.452197467252451,2.4522904991623964,-0.0008866693619147397,-9.303190994511098e-05,-0.0009797012718598507,0.0
18.0,262144.0,30.0,next_unit_residue_mod_30,20390.0,2.5482424630296867,2.5487106473253904,2.5487596909742383,-0.00046818429568261925,-4.9043648847474296e-05,-0.0005172279445300934,0.0
