exp,X,mod,symbol,n,B1_bits_per_gap,Btr_bits_per_gap,U_bits_per_gap,Btr_gain_vs_B1,U_gain_vs_Btr,U_gain_vs_B1,final_ctw_weight
15.0,32768.0,210.0,next_unit_residue_mod_210,3030.0,2.2268817153066163,2.2268817153066163,2.2272117483099168,0.0,-0.0003300330033003304,-0.0003300330033003304,0.0
16.0,65536.0,210.0,next_unit_residue_mod_210,5709.0,2.3407989860311145,2.3407989860311145,2.3409741480559876,0.0,-0.0001751620248730076,-0.0001751620248730076,0.0
17.0,131072.0,210.0,next_unit_residue_mod_210,10749.0,2.451310797890532,2.451310797890532,2.451403829800477,0.0,-9.303190994511075e-05,-9.303190994511075e-05,0.0
