exp,X,mod,symbol,n,B1_bits_per_gap,Btr_bits_per_gap,U_bits_per_gap,Btr_gain_vs_B1,U_gain_vs_Btr,U_gain_vs_B1,final_ctw_weight
15.0,32768.0,210.0,next_unit_residue_mod_210,3030.0,2.2268817153066163,2.230849388849319,2.2311794218526195,-0.003967673542696857,-0.00033003300330033025,-0.004297706545997187,0.0
16.0,65536.0,210.0,next_unit_residue_mod_210,5709.0,2.3407989860311145,2.3437733640229403,2.343948526047813,-0.002974377991820409,-0.00017516202487300773,-0.0031495400166934163,0.0
17.0,131072.0,210.0,next_unit_residue_mod_210,10749.0,2.451310797890532,2.4534725768854986,2.4535656087954436,-0.0021617789949636536,-9.303190994511109e-05,-0.0022548109049087646,0.0
