exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
15.0,32768.0,3030.0,0.015625,0.0,2.2269731776535506,-9.146234693112588e-05
15.0,32768.0,3030.0,0.015625,0.015625,2.2271369412853788,-0.00025522597875906797
15.0,32768.0,3030.0,0.015625,0.03125,2.227318639399226,-0.0004369240926064209
15.0,32768.0,3030.0,0.015625,0.0625,2.2277370992817227,-0.0008553839751029444
15.0,32768.0,3030.0,0.015625,0.125,2.2288039832360917,-0.001922267929472078
15.0,32768.0,3030.0,0.03125,0.0,2.227095830447128,-0.00021411514050846307
15.0,32768.0,3030.0,0.03125,0.015625,2.2272577760743957,-0.00037606076777604543
15.0,32768.0,3030.0,0.03125,0.03125,2.2274376501631803,-0.0005559348565608047
15.0,32768.0,3030.0,0.03125,0.0625,2.2278524438783323,-0.0009707285717124352
15.0,32768.0,3030.0,0.03125,0.125,2.228911922655484,-0.0020302073488646212
15.0,32768.0,3030.0,0.0625,0.0,2.2274349014419736,-0.0005531861353540122
15.0,32768.0,3030.0,0.0625,0.015625,2.2275931368666497,-0.0007114215600300944
15.0,32768.0,3030.0,0.0625,0.03125,2.227769287874037,-0.00088757256741728
15.0,32768.0,3030.0,0.0625,0.0625,2.228176596634953,-0.0012948813283332212
15.0,32768.0,3030.0,0.0625,0.125,2.229220949275801,-0.002339233969181169
15.0,32768.0,3030.0,0.125,0.0,2.2284894158688413,-0.0016077005622215023
15.0,32768.0,3030.0,0.125,0.015625,2.2286399350003174,-0.0017582196936979113
15.0,32768.0,3030.0,0.125,0.03125,2.228808340614755,-0.0019266253081350862
15.0,32768.0,3030.0,0.125,0.0625,2.2292000708067716,-0.0023183555001520684
15.0,32768.0,3030.0,0.125,0.125,2.230212911799357,-0.0033311964927375966
16.0,65536.0,5709.0,0.0,0.0,2.340798986031117,0.0
16.0,65536.0,5709.0,0.0,0.015625,2.3409979256305435,-0.00019893959942618005
16.0,65536.0,5709.0,0.0,0.03125,2.3412141091868026,-0.0004151231556853759
16.0,65536.0,5709.0,0.0,0.0625,2.341699650343394,-0.0009006643122767089
16.0,65536.0,5709.0,0.0,0.125,2.3428942035598124,-0.0020952175286951444
16.0,65536.0,5709.0,0.015625,0.0,2.3409083587920883,-0.0001093727609712151
16.0,65536.0,5709.0,0.015625,0.015625,2.341105573337047,-0.0003065873059296913
16.0,65536.0,5709.0,0.015625,0.03125,2.3413200258147966,-0.0005210397836794416
16.0,65536.0,5709.0,0.015625,0.0625,2.3418020866763785,-0.001003100645261336
16.0,65536.0,5709.0,0.015625,0.125,2.342989606304258,-0.0021906202731407877
16.0,65536.0,5709.0,0.03125,0.0,2.341049742428798,-0.0002507563976808479
16.0,65536.0,5709.0,0.03125,0.015625,2.3412452089037874,-0.0004462228726701136
16.0,65536.0,5709.0,0.03125,0.03125,2.3414579070262196,-0.0006589209951024334
16.0,65536.0,5709.0,0.03125,0.0625,2.341936440241377,-0.0011374542102598527
16.0,65536.0,5709.0,0.03125,0.125,2.3431168282863966,-0.00231784225527945
16.0,65536.0,5709.0,0.0625,0.0,2.3414287297169416,-0.0006297436858244521
16.0,65536.0,5709.0,0.0625,0.015625,2.3416206310728507,-0.0008216450417336034
16.0,65536.0,5709.0,0.0625,0.03125,2.341829750722473,-0.0010307646913553733
16.0,65536.0,5709.0,0.0625,0.0625,2.342301086729766,-0.0015021006986486879
16.0,65536.0,5709.0,0.0625,0.125,2.3434669179160386,-0.002667931884921533
16.0,65536.0,5709.0,0.125,0.0,2.34257284453646,-0.0017738585053427456
16.0,65536.0,5709.0,0.125,0.015625,2.342757340329125,-0.00195835429800806
16.0,65536.0,5709.0,0.125,0.03125,2.3429590245831684,-0.0021600385520513946
16.0,65536.0,5709.0,0.125,0.0625,2.343415399734512,-0.002616413703394581
16.0,65536.0,5709.0,0.125,0.125,2.344550944964288,-0.003751958933170829
17.0,131072.0,10749.0,0.0,0.0,2.451310797890533,0.0
17.0,131072.0,10749.0,0.0,0.015625,2.4515019716471027,-0.00019117375656993143
17.0,131072.0,10749.0,0.0,0.03125,2.451711667190993,-0.00040086930046011955
17.0,131072.0,10749.0,0.0,0.0625,2.4521875672739593,-0.0008767693834264216
17.0,131072.0,10749.0,0.0,0.125,2.453373531102389,-0.0020627332118564067
17.0,131072.0,10749.0,0.015625,0.0,2.4513715753294076,-6.077743887462287e-05
17.0,131072.0,10749.0,0.015625,0.015625,2.451560951992096,-0.00025015410156286054
17.0,131072.0,10749.0,0.015625,0.03125,2.451768843464591,-0.0004580455740579671
17.0,131072.0,10749.0,0.015625,0.0625,2.4522411143600937,-0.0009303164695606658
17.0,131072.0,10749.0,0.015625,0.125,2.453419734855748,-0.002108936965215075
17.0,131072.0,10749.0,0.03125,0.0,2.451465281420024,-0.00015448352949076654
17.0,131072.0,10749.0,0.03125,0.015625,2.4516528395522696,-0.00034204166173682675
17.0,131072.0,10749.0,0.03125,0.03125,2.4518589052715045,-0.000548107380971542
17.0,131072.0,10749.0,0.03125,0.0625,2.4523275028666482,-0.0010167049761152967
17.0,131072.0,10749.0,0.03125,0.125,2.4534986887112376,-0.0021878908207045174
17.0,131072.0,10749.0,0.0625,0.0,2.4517516663694976,-0.0004408684789644184
17.0,131072.0,10749.0,0.0625,0.015625,2.4519355231668087,-0.0006247252762758132
17.0,131072.0,10749.0,0.0625,0.03125,2.452137872370183,-0.00082707447965041
17.0,131072.0,10749.0,0.0625,0.0625,2.452598991100361,-0.0012881932098278562
17.0,131072.0,10749.0,0.0625,0.125,2.4537550338449785,-0.0024442359544456036
17.0,131072.0,10749.0,0.125,0.0,2.4527215789276755,-0.0014107810371424914
17.0,131072.0,10749.0,0.125,0.015625,2.452897776319249,-0.001586978428716163
17.0,131072.0,10749.0,0.125,0.03125,2.453092432819265,-0.0017816349287320913
17.0,131072.0,10749.0,0.125,0.0625,2.4535380655105503,-0.0022272676200175445
17.0,131072.0,10749.0,0.125,0.125,2.454662728429482,-0.0033519305389490125
18.0,262144.0,20390.0,0.0,0.0,2.5482424630296974,0.0
18.0,262144.0,20390.0,0.0,0.015625,2.5484165477838223,-0.00017408475412495248
