baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,0.04803373556942525,145.54221877535852,1.0,3.734550497311372,3.686516761741941,3.7345504966258165,3.68651676105639,-0.0003300330033003273,1.4094628242311558e-18,-0.00033003300330032874,-0.00033003300330032874,-0.0003300330033003259,-0.00033003300330032874,-0.0003300330033003259,0.3333333333333333
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.0003300330033003298,-0.9999999999999993,0.0,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.00033003300330033004,3.8332335417084355e-20,-0.0003300330033003301,-0.0003300330033003301,-0.00033003300330033004,-0.0003300330033003301,-0.00033003300330033004,0.3333333333333333
