baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.00033003300330033394,2.1414708347641463e-18,-0.00033003300330033605,-0.00033003300330033177,-0.00033003300330033605,0.3333333333333333
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,-0.00017516202487300838,7.860465750519907e-19,-0.00017516202487300917,-0.0001751620248730076,-0.00017516202487300917,0.3333333333333333
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.0003300330033003321,8.571370772892337e-20,-0.00033003300330033215,-0.000330033003300332,-0.00033003300330033215,0.3333333333333333
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,-0.0001751620248730088,3.1200260564211747e-19,-0.0001751620248730091,-0.00017516202487300847,-0.0001751620248730091,0.3333333333333333
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.024746047374203634,74.98052354383701,1.0,2.3007154235275675,2.275969376153369,-0.00033003300330033015,3.0629910687921345e-18,-0.00033003300330033324,-0.0003300330033003271,-0.00033003300330033324,0.3333333333333333
"B2consec(11,11,r=2,alpha=1)",11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.038835926345965305,221.71430350911592,1.0,2.4161486886441756,2.377312762298204,-0.00017516202487300811,3.5236570605778894e-19,-0.00017516202487300847,-0.00017516202487300776,-0.00017516202487300847,0.3333333333333333
