exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
15,32768.0,3030.0,-0.0003300330033003304,2.4059328904297503,2.4062629234330504,1.996901965764554,1.9972319987678542,-0.0003300330033003297,9.028211041785915e-19,-0.00033003300330033155,-0.00033003300330032884,-0.7805881019548824
16,65536.0,5709.0,-0.00017516202487300803,2.5163364919845517,2.516511654009425,2.0749438278792036,2.0751189899040767,-0.00017516202487300776,3.3189859541961073e-19,-0.0001751620248730082,-0.00017516202487300746,-0.8166667375578797
17,131072.0,10749.0,-9.303190994511126e-05,2.623879266298338,2.623972298208283,2.0973083642836428,2.097401396193588,-9.303190994511123e-05,1.685148578838194e-19,-9.303190994511146e-05,-9.303190994511105e-05,-0.16084667341810818
18,262144.0,20390.0,-4.904364884747411e-05,2.7183806499334673,2.7184296935823147,2.1506087067801807,2.150657750429028,-4.9043648847474337e-05,1.1418305739110254e-19,-4.904364884747457e-05,-4.9043648847474215e-05,1.9584052414115873
19,524288.0,38635.0,-2.588326646822827e-05,2.8129619717533187,2.812987855019787,2.180211495503671,2.1802373787701383,-2.5883266468228297e-05,8.48048777658024e-20,-2.588326646822847e-05,-2.5883266468228223e-05,0.3196166898204968
20,1048576.0,73586.0,-1.3589541488870153e-05,2.897655062490674,2.8976686520321624,2.205051845069736,2.205065434611225,-1.3589541488870166e-05,4.0620065305037005e-20,-1.3589541488870237e-05,-1.358954148887012e-05,0.3336411956577591
