baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.0003300330033003309,3.734550497311372,3.7348805303146726,3.7345504966258165,3.734880529629117,-0.0003300330033003298,5.826010588729955e-19,-0.00033003300330033063,-0.00033003300330032944,-1.8609684207969417
B0,2.0,2.0,1.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.00017516202487300768,3.8303731867167756,3.8305483487416487,3.830373183886064,3.8305483459109366,-0.0001751620248730077,6.34609535450614e-19,-0.00017516202487300847,-0.00017516202487300746,0.04271138833880153
B0,2.0,2.0,1.0,gap_mod_210,210.0,17.0,131072.0,10749.0,0.06621636114905924,3.9248345594662375,3.8586181983171843,3.924834549674841,3.8586181885257673,-9.303190994511116e-05,4.050293914893399e-19,-9.303190994511158e-05,-9.303190994511075e-05,1.6371501538487626e+17
B0,2.0,2.0,1.0,gap_mod_210,210.0,18.0,262144.0,20390.0,0.1460649469411541,4.00850325326717,3.86243830632603,4.008503223916087,3.862438276974947,-4.904364884747426e-05,1.8985634633061796e-19,-4.904364884747467e-05,-4.904364884747412e-05,7.696028782496269e+17
B0,2.0,2.0,1.0,gap_mod_210,210.0,19.0,524288.0,38635.0,0.21132755780031168,4.092900420285504,3.8815728624851937,4.092900342358599,3.8815727845582915,-2.5883266468228307e-05,7.484627756700706e-20,-2.5883266468228392e-05,-2.5883266468228223e-05,2.8238337020510223e+18
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.00033003300330033,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.0003300330033003304,3.442804288772657e-19,-0.00033003300330033096,-0.0003300330033003302,1.2596733145955472
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.0001751620248730074,2.3407989860311145,2.3409741480559876,2.3407989859514875,2.3409741479763606,-0.00017516202487300757,2.6649474734444555e-19,-0.0001751620248730081,-0.00017516202487300738,0.6102571532587293
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511089e-05,2.451310797890532,2.451403829800477,2.4513107974512103,2.4514038293611553,-9.303190994511115e-05,1.8089789513506655e-19,-9.303190994511149e-05,-9.303190994511097e-05,1.423443958665454
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.904364884747453e-05,2.5482424630296867,2.548291506678534,2.5482424611052097,2.548291504754057,-4.904364884747423e-05,4.5875521289906145e-20,-4.904364884747428e-05,-4.9043648847474194e-05,-6.646940512883967
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,19.0,524288.0,38635.0,-2.5883266468228274e-05,2.645104391691567,2.6451302749580354,2.6451043846611326,2.645130267927601,-2.5883266468228297e-05,2.0977251625440385e-20,-2.5883266468228314e-05,-2.588326646822828e-05,1.1306019943221475
