exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
15,32768.0,3030.0,-0.0003300330033003296,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.00032904921765369665,3.1277664406446393e-06,-0.00033388981636060105,-0.00032509752925877753,-0.31453296315507356
16,65536.0,5709.0,-0.00017516202487300787,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.00017546605710249327,1.6019153006865662e-06,-0.00017761989342806353,-0.00017343045438779077,0.18979294932453314
17,131072.0,10749.0,-9.303190994511115e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.280072918035601e-05,6.649051847123945e-07,-9.373828271466028e-05,-9.214891264283094e-05,-0.3476898211511712
18,262144.0,20390.0,-4.904364884747404e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.8911753075329804e-05,2.4597531958044123e-07,-4.938027751715964e-05,-4.860739804598261e-05,-0.5362154722238321
19,524288.0,38635.0,-2.588326646822828e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.5814673956031347e-05,1.0811894524853301e-07,-2.6086502843428728e-05,-2.571156763427863e-05,-0.6344171415958549
20,1048576.0,73586.0,-1.3589541488870198e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.358034583761331e-05,4.3539498652420534e-08,-1.3651131678816185e-05,-1.3531067330591008e-05,-0.2112025067237929
21,2097152.0,140336.0,-7.1257553300649776e-06,2.81495327850538,2.8149604042607104,2.15348875070376,2.15349587645909,-7.125253142465907e-06,1.37914587196046e-08,-7.14627714692029e-06,-7.112830835544227e-06,-0.03641294291493511
22,4194304.0,268216.0,-3.7283383541623186e-06,2.893612067941753,2.8936157962801072,2.1967335545131212,2.1967372828514753,-3.727055943477218e-06,3.3117423348175874e-09,-3.733307449068354e-06,-3.721761137370206e-06,-0.3872314194307722
