baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,3.734547564054311,3.5234665797496167,-0.00033003300330033047,3.8378306653372896e-18,-0.00033003300330033605,-0.00033003300330033605,-0.0003300330033003286,-0.00033003300330032635,-0.0003300330033003248,0.1111111111111111
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,3.830366191344059,3.6005873858203157,-0.00017516202487300784,1.301360205573198e-18,-0.00017516202487301042,-0.00017516202487301042,-0.0001751620248730076,-0.00017516202487300676,-0.00017516202487300576,0.1111111111111111
B0,2.0,2.0,1.0,rank_mod_64,64.0,17.0,131072.0,10749.0,0.2555065059521235,2746.4394324793752,1.0,3.9248345594662375,3.6693280535141373,3.9248196011250474,3.669313095172921,-9.303190994511115e-05,8.580071655158231e-19,-9.303190994511216e-05,-9.303190994511216e-05,-9.30319099451113e-05,-9.303190994511006e-05,-9.303190994510952e-05,0.1111111111111111
B0,2.0,2.0,1.0,rank_mod_64,64.0,18.0,262144.0,20390.0,0.25934081820986093,5287.959283299065,1.0,4.00850325326717,3.7491624350573196,4.008473969674203,3.749133151464353,-4.9043648847474255e-05,8.297119006464483e-19,-4.904364884747597e-05,-4.904364884747597e-05,-4.904364884747412e-05,-4.904364884747327e-05,-4.904364884747325e-05,0.1111111111111111
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,2.2268817153066163,2.227211748309918,-0.0003300330033003296,2.4459965052511444e-18,-0.0003300330033003336,-0.0003300330033003336,-0.00033003300330032884,-0.0003300330033003267,-0.0003300330033003265,0.1111111111111111
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,2.3407989860311136,2.340974148055986,-0.00017516202487300768,1.3082927720478471e-18,-0.00017516202487300947,-0.00017516202487300947,-0.00017516202487300695,-0.00017516202487300643,-0.00017516202487300614,0.6666666666666666
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511311e-05,-1.0000000000000209,8.617818551826613e-77,2.451310797890532,2.4514038298004777,2.451310797890512,2.4514038298004577,-9.303190994511098e-05,9.7707517638634e-19,-9.303190994511258e-05,-9.303190994511258e-05,-9.303190994511058e-05,-9.303190994511043e-05,-9.303190994510924e-05,1.0
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474764e-05,-1.0000000000000104,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,2.548242463029539,2.548291506678387,-4.9043648847474154e-05,6.029446831828174e-19,-4.904364884747532e-05,-4.904364884747532e-05,-4.904364884747406e-05,-4.904364884747349e-05,-4.904364884747322e-05,0.8888888888888888
