null_index,exp,X,n,R_bits_per_gap
8,22,4194304.0,268041.0,-3.730772531068005e-06
8,23,8388608.0,514088.0,-1.9451922628032597e-06
8,24,16777216.0,985592.0,-1.0146186251511769e-06
8,25,33554432.0,1893962.0,-5.279936978672239e-07
8,26,67108864.0,3644978.0,-2.7435007838181845e-07
9,15,32768.0,3002.0,-0.00033311125916056
9,16,65536.0,5743.0,-0.00017412502176562738
9,17,131072.0,10753.0,-9.299730307821067e-05
9,18,262144.0,20323.0,-4.920533385819024e-05
9,19,524288.0,38573.0,-2.59248697275295e-05
9,20,1048576.0,73659.0,-1.3576073528014276e-05
9,21,2097152.0,140891.0,-7.0976854447764564e-06
9,22,4194304.0,268136.0,-3.7294507264970023e-06
9,23,8388608.0,513525.0,-1.947324862470182e-06
9,24,16777216.0,984958.0,-1.015271717169671e-06
9,25,33554432.0,1895984.0,-5.274306112287871e-07
9,26,67108864.0,3646580.0,-2.742295520734502e-07
10,15,32768.0,3007.0,-0.0003325573661456606
10,16,65536.0,5663.0,-0.0001765848490199541
10,17,131072.0,10583.0,-9.44911650760654e-05
10,18,262144.0,20383.0,-4.9060491586125825e-05
10,19,524288.0,38816.0,-2.576257213520203e-05
10,20,1048576.0,73702.0,-1.3568152831673496e-05
10,21,2097152.0,140280.0,-7.128599942971194e-06
10,22,4194304.0,268123.0,-3.7296315496991993e-06
10,23,8388608.0,514090.0,-1.9451846952868114e-06
10,24,16777216.0,984568.0,-1.015673879305444e-06
10,25,33554432.0,1894314.0,-5.278955864761578e-07
10,26,67108864.0,3645766.0,-2.7429078004457794e-07
11,15,32768.0,3035.0,-0.0003294892915980242
11,16,65536.0,5707.0,-0.0001752234098475556
11,17,131072.0,10729.0,-9.320533134495259e-05
11,18,262144.0,20325.0,-4.9200492004920234e-05
11,19,524288.0,38639.0,-2.5880586971712493e-05
11,20,1048576.0,73572.0,-1.3592127439786884e-05
11,21,2097152.0,140167.0,-7.134346886214276e-06
11,22,4194304.0,267885.0,-3.7329451070422175e-06
11,23,8388608.0,512653.0,-1.9506371756334204e-06
11,24,16777216.0,986468.0,-1.0137176269275838e-06
11,25,33554432.0,1894755.0,-5.277727199558779e-07
11,26,67108864.0,3646595.0,-2.742284240503825e-07
12,15,32768.0,2997.0,-0.0003336670003336684
12,16,65536.0,5805.0,-0.00017226528854435804
12,17,131072.0,10815.0,-9.246417013407297e-05
12,18,262144.0,20385.0,-4.905567819475111e-05
