exp,X,mod,symbol,n,B1_bits_per_gap,Btr_bits_per_gap,U_bits_per_gap,Btr_gain_vs_B1,U_gain_vs_Btr,U_gain_vs_B1,final_ctw_weight
15.0,32768.0,30.0,next_unit_residue_mod_30,3030.0,2.2268817153066163,2.2479843057759266,2.248314338779227,-0.021102590469305092,-0.00033003300330032977,-0.021432623472605418,0.0
16.0,65536.0,30.0,next_unit_residue_mod_30,5709.0,2.3407989860311145,2.361942935717567,2.36211809774244,-0.021143949686442537,-0.00017516202487300698,-0.021319111711315546,0.0
17.0,131072.0,30.0,next_unit_residue_mod_30,10749.0,2.451310797890532,2.46811861805421,2.468211649964155,-0.01680782016368643,-9.303190994511142e-05,-0.016900852073631543,0.0
18.0,262144.0,30.0,next_unit_residue_mod_30,20390.0,2.5482424630296867,2.562434049730353,2.5624830933792,-0.014191586700657895,-4.904364884747423e-05,-0.01424063034950537,0.0
