baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,14.0,16384.0,1612.0,0.17220719797636855,277.5980031379061,1.0,3.6330696452316564,3.460862447255291,-0.0006203473945409389,1.5178830414797062e-18,-0.0006203473945409404,-0.0006203473945409374,-0.0006203473945409404,0.3333333333333333
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.00033003300330033275,3.3068166260807885e-18,-0.00033003300330033605,-0.00033003300330032944,-0.00033003300330033605,0.3333333333333333
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409378,-0.9999999999999918,1.214281477357749e-38,2.1034336493682986,2.10405399676284,-0.000620347394540943,2.0599841277224584e-18,-0.0006203473945409451,-0.000620347394540941,-0.0006203473945409451,0.3333333333333333
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.00033003300330033286,8.673617379884035e-19,-0.0003300330033003337,-0.000330033003300332,-0.0003300330033003337,0.3333333333333333
"B2consec(11,11,r=2,alpha=0)",11.0,2310.0,480.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409423,-0.9999999999999989,1.2142814773577145e-38,2.1034336493682986,2.10405399676284,-0.0006203473945409428,2.168404344971009e-19,-0.000620347394540943,-0.0006203473945409426,-0.000620347394540943,0.3333333333333333
"B2consec(11,11,r=2,alpha=0)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.0003300330033003242,-0.9999999999999822,3.3662723521027916e-45,2.2268817153066163,2.227211748309918,-0.00033003300330032917,2.412502104560502e-18,-0.00033003300330033155,-0.00033003300330032673,-0.00033003300330033155,0.3333333333333333
