baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.00033003300330033074,4.789855007427051e-18,-0.00033003300330033605,-0.00033003300330033177,-0.00033003300330033177,0.25
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,0.22977880552375926,1311.8072007351416,1.0,3.8303731867167756,3.6005943811930257,-0.00017516202487300811,7.542481600021991e-19,-0.00017516202487300917,-0.0001751620248730076,-0.0001751620248730076,0.25
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.0003300330033003311,1.3432735493979665e-18,-0.00033003300330033215,-0.000330033003300332,-0.000330033003300332,0.25
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.0001751620248730083,-1.0000000000000044,3.541403594199143e-63,2.3407989860311145,2.340974148055987,-0.00017516202487300868,2.8770539423236877e-19,-0.0001751620248730091,-0.0001751620248730085,-0.0001751620248730085,0.25
"B2pair(11,11,alpha=0)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.0003300330033003224,-0.9999999999999769,3.3662723521028874e-45,2.2268817153066163,2.2272117483099176,-0.00033003300330033047,3.3640855908465783e-18,-0.0003300330033003346,-0.0003300330033003305,-0.0003300330033003305,0.25
"B2pair(11,11,alpha=0)",11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.00017516202487300844,-1.000000000000005,3.541403594199747e-63,2.3407989860311145,2.340974148055987,-0.00017516202487300806,7.752235076788464e-19,-0.00017516202487300917,-0.0001751620248730076,-0.0001751620248730076,0.75
