exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
15,32768.0,3030.0,-0.0003300330033003307,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.00033003300330033015,4.451752471880541e-19,-0.00033003300330033085,-0.00033003300330032966,-1.217725131095966
16,65536.0,5709.0,-0.00017516202487300733,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.0001751620248730074,3.043855058743655e-19,-0.00017516202487300795,-0.00017516202487300714,0.26714531857497675
17,131072.0,10749.0,-9.303190994511123e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.303190994511112e-05,2.176264857140073e-19,-9.30319099451114e-05,-9.303190994511084e-05,-0.4981940359549356
18,262144.0,20390.0,-4.9043648847474296e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.9043648847474316e-05,6.497355588247159e-20,-4.9043648847474445e-05,-4.904364884747426e-05,0.3128779156073165
19,524288.0,38635.0,-2.588326646822834e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.5883266468228257e-05,3.1271465285781853e-20,-2.58832664682283e-05,-2.5883266468228223e-05,-2.7086448924394326
20,1048576.0,73586.0,-1.3589541488870175e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.3589541488870186e-05,2.747313203929414e-20,-1.3589541488870232e-05,-1.3589541488870147e-05,0.4316384911847452
