baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,null_mean,null_sd,null_p05,null_p50,null_p95,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,14.0,16384.0,1612.0,0.17220719797636855,277.5980031379061,1.0,3.6330696452316564,3.460862447255291,-0.0006203473945409404,2.391806675716455e-18,-0.0006203473945409433,-0.0006203473945409404,-0.0006203473945409404,0.25
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.2110809843046839,639.5753824431922,1.0,3.734550497311372,3.523469513006682,-0.000330033003300332,2.9055134823565e-18,-0.00033003300330033605,-0.00033003300330033047,-0.00033003300330033047,0.25
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409378,-0.9999999999999918,1.214281477357749e-38,2.1034336493682986,2.10405399676284,-0.000620347394540943,1.6819699970507713e-18,-0.0006203473945409451,-0.000620347394540943,-0.000620347394540943,0.25
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.00033003300330032104,-0.9999999999999727,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,-0.00033003300330033096,2.7751481321070688e-18,-0.0003300330033003337,-0.000330033003300332,-0.000330033003300332,0.25
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409476,-1.0000000000000075,8.984972680093866e-18,2.146439836173214,2.1470601835677505,-0.0006203473945409407,1.7096966453276894e-18,-0.0006203473945409425,-0.0006203473945409411,-0.0006203473945409411,1.0
"B2pair(11,11)",11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,0.021095946062957463,63.920716570761115,1.0,2.2970653222163238,2.275969376153369,-0.00033003300330032944,1.50687200993926e-18,-0.00033003300330033107,-0.0003300330033003298,-0.0003300330033003298,0.25
