exp,X,n,pair_alpha,exclusion_alpha,bits_per_gap,delta_vs_B1_bits_per_gap
13.0,8192.0,872.0,0.0625,0.0,1.954528259000124,-0.0009654341775246494
13.0,8192.0,872.0,0.0625,0.015625,1.9547691395685394,-0.001206314745939906
13.0,8192.0,872.0,0.0625,0.03125,1.9550533260001375,-0.001490501177538006
13.0,8192.0,872.0,0.0625,0.0625,1.9557592210599188,-0.002196396237319442
13.0,8192.0,872.0,0.0625,0.125,1.9577819075219922,-0.004219082699392823
13.0,8192.0,872.0,0.125,0.0,1.9559558001123325,-0.002392975289733062
13.0,8192.0,872.0,0.125,0.015625,1.956188200538864,-0.002625375716264577
13.0,8192.0,872.0,0.125,0.03125,1.9564638701021477,-0.0029010452795482228
13.0,8192.0,872.0,0.125,0.0625,1.9571526206361352,-0.0035897958135358335
13.0,8192.0,872.0,0.125,0.125,1.9591405706889427,-0.005577745866343292
14.0,16384.0,1612.0,0.0,0.0,2.1034336493683,0.0
14.0,16384.0,1612.0,0.0,0.015625,2.1035023676505835,-6.871828228358982e-05
14.0,16384.0,1612.0,0.0,0.03125,2.103609481727458,-0.0001758323591578234
14.0,16384.0,1612.0,0.0,0.0625,2.1039454075095985,-0.0005117581412982884
14.0,16384.0,1612.0,0.0,0.125,2.10515565283399,-0.0017220034656900444
14.0,16384.0,1612.0,0.015625,0.0,2.103132122899107,0.0003015264691930384
14.0,16384.0,1612.0,0.015625,0.015625,2.103199006137778,0.00023464323052192336
14.0,16384.0,1612.0,0.015625,0.03125,2.1033042786763447,0.00012937069195534157
14.0,16384.0,1612.0,0.015625,0.0625,2.1036365019264847,-0.00020285255818471433
14.0,16384.0,1612.0,0.015625,0.125,2.104839264642001,-0.0014056152737007537
14.0,16384.0,1612.0,0.03125,0.0,2.102860741050018,0.0005729083182818579
14.0,16384.0,1612.0,0.03125,0.015625,2.102925745905015,0.0005079034632850971
14.0,16384.0,1612.0,0.03125,0.03125,2.103029133000017,0.0004045163682828657
14.0,16384.0,1612.0,0.03125,0.0625,2.10335756417537,7.608519293004408e-05
14.0,16384.0,1612.0,0.03125,0.125,2.1045526580001375,-0.0011190086318373785
14.0,16384.0,1612.0,0.0625,0.0,2.1024086089381915,0.0010250404301085957
14.0,16384.0,1612.0,0.0625,0.015625,2.102469726889052,0.000963922479247973
14.0,16384.0,1612.0,0.0625,0.03125,2.102569211264986,0.0008644381033141494
14.0,16384.0,1612.0,0.0625,0.0625,2.102889789431552,0.0005438599367482568
14.0,16384.0,1612.0,0.0625,0.125,2.104068986174895,-0.0006353368065951118
14.0,16384.0,1612.0,0.125,0.0,2.1018682115239984,0.0015654378443014478
14.0,16384.0,1612.0,0.125,0.015625,2.101921034468841,0.0015126148994587395
14.0,16384.0,1612.0,0.125,0.03125,2.102012185432359,0.0014214639359409625
14.0,16384.0,1612.0,0.125,0.0625,2.1023159808649874,0.0011176685033128153
14.0,16384.0,1612.0,0.125,0.125,2.1034611437506885,-2.7494382388445396e-05
15.0,32768.0,3030.0,0.0,0.0,2.22688171530662,0.0
15.0,32768.0,3030.0,0.0,0.015625,2.2270893809719605,-0.00020766566534106753
15.0,32768.0,3030.0,0.0,0.03125,2.227341086634621,-0.00045937132800126203
15.0,32768.0,3030.0,0.0,0.0625,2.2279846768025404,-0.001102961495920795
15.0,32768.0,3030.0,0.0,0.125,2.229897266181105,-0.003015550874485475
15.0,32768.0,3030.0,0.015625,0.0,2.2269731776535506,-9.146234693112588e-05
15.0,32768.0,3030.0,0.015625,0.015625,2.2271792394774423,-0.0002975241708227499
15.0,32768.0,3030.0,0.015625,0.03125,2.227429335597582,-0.0005476202909623152
15.0,32768.0,3030.0,0.015625,0.0625,2.22806968962625,-0.0011879743196301872
15.0,32768.0,3030.0,0.015625,0.125,2.2299757389352957,-0.0030940236286759537
15.0,32768.0,3030.0,0.03125,0.0,2.227095830447128,-0.00021411514050846307
15.0,32768.0,3030.0,0.03125,0.015625,2.2273002469640204,-0.00041853165740057233
15.0,32768.0,3030.0,0.03125,0.03125,2.227548691527115,-0.0006669762204957338
15.0,32768.0,3030.0,0.03125,0.0625,2.2281857237037817,-0.0013040083971618784
15.0,32768.0,3030.0,0.03125,0.125,2.2300850545147495,-0.003203339208129823
15.0,32768.0,3030.0,0.0625,0.0,2.2274349014419736,-0.0005531861353540122
15.0,32768.0,3030.0,0.0625,0.015625,2.2276359027356984,-0.0007541874290788832
15.0,32768.0,3030.0,0.0625,0.03125,2.227880917928375,-0.0009992026217551869
15.0,32768.0,3030.0,0.0625,0.0625,2.228511048836721,-0.001629333530101528
15.0,32768.0,3030.0,0.0625,0.125,2.230396406512763,-0.003514691206143079
15.0,32768.0,3030.0,0.125,0.0,2.2284894158688413,-0.0016077005622215023
15.0,32768.0,3030.0,0.125,0.015625,2.228683086951642,-0.0018013716450224681
15.0,32768.0,3030.0,0.125,0.03125,2.2289207370496507,-0.0020390217430308393
15.0,32768.0,3030.0,0.125,0.0625,2.229536032506386,-0.0026543171997662693
15.0,32768.0,3030.0,0.125,0.125,2.231391294047919,-0.004509578741299295
16.0,65536.0,5709.0,0.0,0.0,2.340798986031117,0.0
16.0,65536.0,5709.0,0.0,0.015625,2.3410151664875825,-0.00021618045646515634
16.0,65536.0,5709.0,0.0,0.03125,2.3412757797093855,-0.00047679367826823003
16.0,65536.0,5709.0,0.0,0.0625,2.3419382679062477,-0.0011392818751305585
16.0,65536.0,5709.0,0.0,0.125,2.3438918653428624,-0.003092879311745245
16.0,65536.0,5709.0,0.015625,0.0,2.3409083587920883,-0.0001093727609712151
16.0,65536.0,5709.0,0.015625,0.015625,2.3411232763585375,-0.0003242903274204227
16.0,65536.0,5709.0,0.015625,0.03125,2.341382622783102,-0.0005836367519845354
16.0,65536.0,5709.0,0.015625,0.0625,2.3420425657736894,-0.00124357974257209
16.0,65536.0,5709.0,0.015625,0.125,2.343991027214627,-0.003192041183509935
16.0,65536.0,5709.0,0.03125,0.0,2.341049742428798,-0.0002507563976808479
16.0,65536.0,5709.0,0.03125,0.015625,2.341263358435112,-0.0004643724039947071
16.0,65536.0,5709.0,0.03125,0.03125,2.341521398875793,-0.0007224128446756526
16.0,65536.0,5709.0,0.03125,0.0625,2.342178716701932,-0.0013797306708147772
16.0,65536.0,5709.0,0.03125,0.125,2.3441218756335243,-0.003322889602407156
16.0,65536.0,5709.0,0.0625,0.0,2.3414287297169416,-0.0006297436858244521
16.0,65536.0,5709.0,0.0625,0.015625,2.3416396263231642,-0.0008406402920469567
16.0,65536.0,5709.0,0.0625,0.03125,2.3418949369661393,-0.0010959509350219733
16.0,65536.0,5709.0,0.0625,0.0625,2.3425467640473685,-0.0017477780162512468
16.0,65536.0,5709.0,0.0625,0.125,2.344478817331534,-0.0036798313004169658
16.0,65536.0,5709.0,0.125,0.0,2.34257284453646,-0.0017738585053427456
16.0,65536.0,5709.0,0.125,0.015625,2.342777835487385,-0.00197884945626754
