null_index,exp,X,n,R_bits_per_gap
7,26.0,67108864.0,3647709.0,-2.741446754661247e-07
8,15.0,32768.0,3114.0,-0.0003211303789338481
8,16.0,65536.0,5721.0,-0.0001747946163258159
8,17.0,131072.0,10825.0,-9.23787528868368e-05
8,18.0,262144.0,20476.0,-4.8837663606171885e-05
8,19.0,524288.0,38777.0,-2.5788482863552278e-05
8,20.0,1048576.0,73641.0,-1.3579391914830512e-05
8,21.0,2097152.0,139582.0,-7.164247539080861e-06
8,22.0,4194304.0,268041.0,-3.730772531067963e-06
8,23.0,8388608.0,514088.0,-1.945192262803251e-06
8,24.0,16777216.0,985592.0,-1.0146186251511165e-06
8,25.0,33554432.0,1893962.0,-5.279936978672273e-07
8,26.0,67108864.0,3644978.0,-2.7435007838181845e-07
9,15.0,32768.0,3002.0,-0.0003331112591605566
9,16.0,65536.0,5743.0,-0.0001741250217656283
9,17.0,131072.0,10753.0,-9.299730307821181e-05
9,18.0,262144.0,20323.0,-4.920533385818917e-05
9,19.0,524288.0,38573.0,-2.5924869727529773e-05
9,20.0,1048576.0,73659.0,-1.3576073528014345e-05
9,21.0,2097152.0,140891.0,-7.0976854447764674e-06
9,22.0,4194304.0,268136.0,-3.729450726497163e-06
9,23.0,8388608.0,513525.0,-1.947324862470254e-06
9,24.0,16777216.0,984958.0,-1.0152717171696663e-06
9,25.0,33554432.0,1895984.0,-5.27430611228798e-07
9,26.0,67108864.0,3646580.0,-2.742295520734416e-07
10,15.0,32768.0,3007.0,-0.0003325573661456588
10,16.0,65536.0,5663.0,-0.00017658484901995376
10,17.0,131072.0,10583.0,-9.44911650760651e-05
10,18.0,262144.0,20383.0,-4.90604915861257e-05
10,19.0,524288.0,38816.0,-2.576257213520168e-05
10,20.0,1048576.0,73702.0,-1.3568152831673526e-05
10,21.0,2097152.0,140280.0,-7.128599942971218e-06
10,22.0,4194304.0,268123.0,-3.7296315496990786e-06
10,23.0,8388608.0,514090.0,-1.9451846952868813e-06
10,24.0,16777216.0,984568.0,-1.0156738793054503e-06
10,25.0,33554432.0,1894314.0,-5.278955864761655e-07
10,26.0,67108864.0,3645766.0,-2.7429078004458594e-07
11,15.0,32768.0,3035.0,-0.00032948929159802397
11,16.0,65536.0,5707.0,-0.00017522340984755407
11,17.0,131072.0,10729.0,-9.320533134495402e-05
11,18.0,262144.0,20325.0,-4.9200492004920254e-05
11,19.0,524288.0,38639.0,-2.5880586971712554e-05
11,20.0,1048576.0,73572.0,-1.3592127439787018e-05
11,21.0,2097152.0,140167.0,-7.134346886214029e-06
11,22.0,4194304.0,267885.0,-3.732945107042245e-06
11,23.0,8388608.0,512653.0,-1.9506371756334103e-06
11,24.0,16777216.0,986468.0,-1.0137176269276122e-06
11,25.0,33554432.0,1894755.0,-5.277727199558541e-07
11,26.0,67108864.0,3646595.0,-2.7422842405036954e-07
12,15.0,32768.0,2997.0,-0.00033366700033366463
12,16.0,65536.0,5805.0,-0.00017226528854435934
12,17.0,131072.0,10815.0,-9.246417013407405e-05
12,18.0,262144.0,20385.0,-4.905567819475156e-05
12,19.0,524288.0,38552.0,-2.5938991492010887e-05
12,20.0,1048576.0,73381.0,-1.3627505757621249e-05
12,21.0,2097152.0,140588.0,-7.112982615870575e-06
12,22.0,4194304.0,267801.0,-3.7341160040477866e-06
12,23.0,8388608.0,512425.0,-1.9515050983070032e-06
12,24.0,16777216.0,985884.0,-1.0143181145043235e-06
12,25.0,33554432.0,1894569.0,-5.278245342344235e-07
12,26.0,67108864.0,3644137.0,-2.7441339334935875e-07
13,15.0,32768.0,3059.0,-0.0003269042170643989
13,16.0,65536.0,5781.0,-0.00017298045320878554
13,17.0,131072.0,10934.0,-9.14578379367126e-05
13,18.0,262144.0,20671.0,-4.837695321948575e-05
13,19.0,524288.0,38730.0,-2.5819777949909636e-05
13,20.0,1048576.0,73939.0,-1.3524662221560843e-05
13,21.0,2097152.0,140213.0,-7.132006304693518e-06
13,22.0,4194304.0,268625.0,-3.722661703117704e-06
13,23.0,8388608.0,514397.0,-1.9440237792988937e-06
13,24.0,16777216.0,987683.0,-1.012470600384874e-06
13,25.0,33554432.0,1894076.0,-5.27961919162706e-07
13,26.0,67108864.0,3644921.0,-2.7435436872295854e-07
14,15.0,32768.0,3094.0,-0.0003232062055591482
14,16.0,65536.0,5679.0,-0.0001760873393203037
14,17.0,131072.0,10670.0,-9.372071227741351e-05
14,18.0,262144.0,20372.0,-4.908698213233858e-05
14,19.0,524288.0,38733.0,-2.5817778122014563e-05
14,20.0,1048576.0,73904.0,-1.353106733059057e-05
14,21.0,2097152.0,140546.0,-7.115108220795924e-06
14,22.0,4194304.0,267792.0,-3.734241500866286e-06
14,23.0,8388608.0,514111.0,-1.945105239918983e-06
14,24.0,16777216.0,985071.0,-1.0151552527685343e-06
14,25.0,33554432.0,1895254.0,-5.276337630734088e-07
14,26.0,67108864.0,3648243.0,-2.7410454840864494e-07
15,15.0,32768.0,3048.0,-0.0003280839895013116
15,16.0,65536.0,5668.0,-0.00017642907551164216
15,17.0,131072.0,10810.0,-9.250693802035097e-05
15,18.0,262144.0,20428.0,-4.895241824946225e-05
15,19.0,524288.0,38774.0,-2.579047815546458e-05
15,20.0,1048576.0,73485.0,-1.3608219364495948e-05
15,21.0,2097152.0,140552.0,-7.11480448517246e-06
15,22.0,4194304.0,268446.0,-3.725143976814737e-06
15,23.0,8388608.0,513226.0,-1.948459353189413e-06
15,24.0,16777216.0,983934.0,-1.0163283309653062e-06
15,25.0,33554432.0,1894373.0,-5.278791452369726e-07
15,26.0,67108864.0,3646628.0,-2.742259424322968e-07
16,15.0,32768.0,3042.0,-0.000328731097961868
16,16.0,65536.0,5786.0,-0.0001728309713100578
16,17.0,131072.0,10758.0,-9.295408068414147e-05
16,18.0,262144.0,20539.0,-4.868786211597375e-05
16,19.0,524288.0,38343.0,-2.6080379730329094e-05
16,20.0,1048576.0,73567.0,-1.359305123221028e-05
16,21.0,2097152.0,140550.0,-7.1149057274989765e-06
16,22.0,4194304.0,268500.0,-3.7243947858473594e-06
16,23.0,8388608.0,513764.0,-1.946418978363692e-06
16,24.0,16777216.0,985978.0,-1.0142214126481538e-06
16,25.0,33554432.0,1896075.0,-5.274052977862112e-07
16,26.0,67108864.0,3647181.0,-2.741843632109101e-07
17,15.0,32768.0,2994.0,-0.00033400133600534177
17,16.0,65536.0,5729.0,-0.00017455053237912303
17,17.0,131072.0,10794.0,-9.264406151565625e-05
17,18.0,262144.0,20280.0,-4.930966469428033e-05
17,19.0,524288.0,38972.0,-2.5659447808683187e-05
17,20.0,1048576.0,73661.0,-1.357570491847778e-05
17,21.0,2097152.0,140031.0,-7.141275860344983e-06
17,22.0,4194304.0,267779.0,-3.7344227889416472e-06
17,23.0,8388608.0,513818.0,-1.946214418334839e-06
17,24.0,16777216.0,984870.0,-1.0153624336206465e-06
17,25.0,33554432.0,1893181.0,-5.28211512792476e-07
17,26.0,67108864.0,3643440.0,-2.7446588937928014e-07
18,15.0,32768.0,3091.0,-0.00032351989647363673
18,16.0,65536.0,5656.0,-0.00017680339462517708
18,17.0,131072.0,10785.0,-9.272137227630909e-05
18,18.0,262144.0,20601.0,-4.854133294500386e-05
18,19.0,524288.0,38802.0,-2.577186742951337e-05
18,20.0,1048576.0,73110.0,-1.3678019422787626e-05
18,21.0,2097152.0,140907.0,-7.096879502083016e-06
18,22.0,4194304.0,268321.0,-3.7268793720953674e-06
18,23.0,8388608.0,513505.0,-1.9474007069064735e-06
18,24.0,16777216.0,986014.0,-1.01418438277749e-06
18,25.0,33554432.0,1895317.0,-5.276162246209817e-07
18,26.0,67108864.0,3645704.0,-2.742954447206874e-07
19,15.0,32768.0,3002.0,-0.00033311125916055443
19,16.0,65536.0,5733.0,-0.00017442874585731633
19,17.0,131072.0,10766.0,-9.288500835965044e-05
19,18.0,262144.0,20245.0,-4.9394912324029516e-05
19,19.0,524288.0,38754.0,-2.5803787996077084e-05
19,20.0,1048576.0,73708.0,-1.3567048352960417e-05
19,21.0,2097152.0,140542.0,-7.115310725619275e-06
19,22.0,4194304.0,268378.0,-3.726087831342243e-06
19,23.0,8388608.0,514409.0,-1.943978429615398e-06
19,24.0,16777216.0,985086.0,-1.0151397949011435e-06
19,25.0,33554432.0,1895294.0,-5.276226274129284e-07
19,26.0,67108864.0,3646935.0,-2.742028580163779e-07
20,15.0,32768.0,3051.0,-0.0003277613897082924
20,16.0,65536.0,5632.0,-0.00017755681818181588
20,17.0,131072.0,10759.0,-9.294544102611814e-05
20,18.0,262144.0,20540.0,-4.8685491723465825e-05
20,19.0,524288.0,38796.0,-2.5775853180739626e-05
20,20.0,1048576.0,73885.0,-1.3534546931041534e-05
20,21.0,2097152.0,139838.0,-7.151132024199391e-06
20,22.0,4194304.0,268225.0,-3.728213253797994e-06
20,23.0,8388608.0,514246.0,-1.9445946103615485e-06
20,24.0,16777216.0,986103.0,-1.0140928483129844e-06
20,25.0,33554432.0,1893866.0,-5.280204618489439e-07
20,26.0,67108864.0,3646210.0,-2.7425737958044917e-07
21,15.0,32768.0,3046.0,-0.00032829940906106025
21,16.0,65536.0,5611.0,-0.00017822135091784014
21,17.0,131072.0,10872.0,-9.197939661515848e-05
21,18.0,262144.0,20326.0,-4.919807143559924e-05
21,19.0,524288.0,38685.0,-2.5849812588859145e-05
21,20.0,1048576.0,73910.0,-1.3529968881071712e-05
21,21.0,2097152.0,140013.0,-7.1421939391342e-06
21,22.0,4194304.0,268101.0,-3.729937598143791e-06
21,23.0,8388608.0,513916.0,-1.94584328956495e-06
21,24.0,16777216.0,985589.0,-1.01462171351347e-06
21,25.0,33554432.0,1894816.0,-5.277557293161956e-07
21,26.0,67108864.0,3643588.0,-2.7445474076651655e-07
22,15.0,32768.0,2969.0,-0.00033681374200067335
22,16.0,65536.0,5727.0,-0.00017461148943600496
