baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,25.0,33554432.0,1894120.0,0.26831046390335334,508212.2158886196,1.0,4.5048098307381625,4.23649936683492,4.502535830974792,4.234225367071685,-5.278819574747058e-07,3.529877569944402e-10,-5.288070272108072e-07,-5.285317282881607e-07,-5.278732935175993e-07,-5.273051805097284e-07,-5.266314911938927e-07,0.004975124378109453
B0,2.0,2.0,1.0,rank_mod_64,64.0,26.0,67108864.0,3645744.0,0.2674244536300398,974961.0972749958,1.0,4.563439906212204,4.296015452582619,4.560159160774434,4.292734707144471,-2.742536225148786e-07,1.3239419899629498e-10,-2.746431081470461e-07,-2.744701833433457e-07,-2.7424278823740137e-07,-2.74048885936451e-07,-2.7390686509210356e-07,0.004975124378109453
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.0003300330033003211,-0.9999999999999729,3.366272352102505e-45,2.2268817153066163,2.2272117483099176,2.2268817153066163,2.227211748309918,-0.0003287503729932413,4.310712239454121e-06,-0.000339673913043476,-0.0003357958361316301,-0.0003287310979618672,-0.0003216468317787088,-0.0003186743148502259,0.6119402985074627
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.00017516202487300811,-1.0000000000000033,3.541403594199143e-63,2.3407989860311145,2.340974148055987,2.3407989860311136,2.340974148055986,-0.000174885321693315,1.7656927300618878e-06,-0.00017940437746681042,-0.0001779359430604967,-0.00017488632388947144,-0.00017220595832615724,-0.00017099863201094147,0.572139303482587
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,17.0,131072.0,10749.0,-9.303190994511292e-05,-1.0000000000000189,8.617818551826613e-77,2.451310797890532,2.4514038298004777,2.451310797890512,2.4514038298004577,-9.290635092744132e-05,6.445292512115077e-07,-9.452689290103158e-05,-9.403799134850312e-05,-9.295408068414147e-05,-9.170946441672773e-05,-9.133254178463683e-05,0.6169154228855721
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,18.0,262144.0,20390.0,-4.9043648847474804e-05,-1.0000000000000113,4.718578216693928e-100,2.5482424630296867,2.5482915066785345,2.548242463029539,2.548291506678387,-4.904080689766061e-05,2.8678792388422794e-07,-4.982064567556854e-05,-4.9465769687376085e-05,-4.905808477237013e-05,-4.8546045924559605e-05,-4.801690194948702e-05,0.47761194029850745
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,19.0,524288.0,38635.0,-2.5883266468228284e-05,-0.9999999999999998,8.48089981154609e-160,2.645104391691567,2.645130274958035,2.6451043916905443,2.645130274957013,-2.58622597414071e-05,9.873928180650808e-08,-2.6184179518735582e-05,-2.6036242449490354e-05,-2.5861177200785727e-05,-2.5710245532845557e-05,-2.5598361704850175e-05,0.5771144278606966
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,20.0,1048576.0,73586.0,-1.358954148887031e-05,-1.0000000000000107,8.638812035658374e-216,2.731673799752871,2.73168738929436,2.7316737997473584,2.731687389288847,-1.359158470470233e-05,3.8885599376169604e-08,-1.3728532008071963e-05,-1.36565380675997e-05,-1.3593420784340026e-05,-1.3529968881071712e-05,-1.3490543129266252e-05,0.48258706467661694
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,21.0,2097152.0,140336.0,-7.125755330064938e-06,-0.9999999999999931,0.0,2.81495327850538,2.8149604042607104,2.8149532784812212,2.8149604042365506,-7.124148661452641e-06,1.5576294578097364e-08,-7.170463427051263e-06,-7.150774071293186e-06,-7.1243846312776885e-06,-7.09995314030943e-06,-7.084762093689014e-06,0.5522388059701493
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,22.0,4194304.0,268216.0,-3.7283383541623376e-06,-1.0000000000000056,0.0,2.893612067941753,2.8936157962801072,2.893612067851062,2.8936157961894162,-3.7274462826420866e-06,6.14403389314088e-09,-3.739827668741007e-06,-3.7373676971834292e-06,-3.727226645197852e-06,-3.716739824495562e-06,-3.7089511827843586e-06,0.5472636815920398
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,23.0,8388608.0,513708.0,-1.9466311601143157e-06,-1.0000000000000049,0.0,2.967941836512777,2.9679437831439373,2.9679418362159384,2.9679437828470987,-1.946294652586606e-06,2.3303984849184366e-09,-1.9520650896583477e-06,-1.950317609222626e-06,-1.946112154443402e-06,-1.942128456260447e-06,-1.9404966118929463e-06,0.5621890547263682
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,24.0,16777216.0,985818.0,-1.0143860225721137e-06,-0.999999999999996,0.0,3.038312811995684,3.0383138263817067,3.0383128111283253,3.038313825514348,-1.0144696777136799e-06,8.532058322318712e-10,-1.0166961847459161e-06,-1.0157564134859767e-06,-1.0145640671843756e-06,-1.012945442758397e-06,-1.0119972271275462e-06,0.40298507462686567
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,25.0,33554432.0,1894120.0,-5.279496547209323e-07,-1.0000000000000122,0.0,3.1060916189495824,3.1060921468992375,3.1060916166550236,3.106092144604678,-5.278819915614103e-07,3.230306011090182e-10,-5.287748709260491e-07,-5.284861988471834e-07,-5.278791452369701e-07,-5.273613527451515e-07,-5.267455029102458e-07,0.572139303482587
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,26.0,67108864.0,3645744.0,-2.742924352340597e-07,-0.9999999999999618,0.0,3.1704284777012335,3.170428751993669,3.170428472125607,3.1704287464180423,-2.742541405584825e-07,1.2035362132641004e-10,-2.7460087449393777e-07,-2.7445474076651655e-07,-2.742476769164902e-07,-2.740642077625828e-07,-2.7392607283147783e-07,0.6119402985074627
