exp,X,mod,symbol,n,B1_bits_per_gap,Btr_bits_per_gap,U_bits_per_gap,Btr_gain_vs_B1,U_gain_vs_Btr,U_gain_vs_B1,final_ctw_weight
15.0,32768.0,30.0,next_unit_residue_mod_30,3030.0,2.2268817153066163,2.2354454675736752,2.2357755005769757,-0.008563752267053857,-0.0003300330033003296,-0.008893785270354186,0.0
16.0,65536.0,30.0,next_unit_residue_mod_30,5709.0,2.3407989860311145,2.349816148932661,2.349991310957534,-0.009017162901547277,-0.00017516202487300787,-0.009192324926420282,0.0
17.0,131072.0,30.0,next_unit_residue_mod_30,10749.0,2.451310797890532,2.457973765901043,2.458066797810988,-0.00666296801051064,-9.303190994511109e-05,-0.006755999920455751,0.0
18.0,262144.0,30.0,next_unit_residue_mod_30,20390.0,2.5482424630296867,2.5534079528383096,2.553456996487157,-0.005165489808619455,-4.904364884747419e-05,-0.005214533457466929,0.0
