baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409426,-0.9999999999999996,3.625966637359443e-273,3.6330696452316564,3.6336899926261976,3.6330685638524094,3.6336889112469506,-0.0006203473945409427,1.0650596455332947e-18,-0.0006203473945409443,-0.0006203473945409443,-0.0006203473945409421,-0.0006203473945409421,-0.0006203473945409415,0.6
B0,2.0,2.0,1.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.0003300330033003302,-1.0000000000000004,1.3785673225705e-311,3.734550497311372,3.7348805303146726,3.734547564054311,3.734877597057611,-0.00033003300330033025,3.286313184737536e-19,-0.00033003300330033074,-0.00033003300330033074,-0.00033003300330033004,-0.00033003300330033004,-0.0003300330033003299,0.6
B0,2.0,2.0,1.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.00017516202487300635,-0.9999999999999933,0.0,3.8303731867167756,3.8305483487416487,3.830366191344059,3.8305413533689316,-0.00017516202487300752,4.0157581009497144e-19,-0.00017516202487300792,-0.00017516202487300792,-0.00017516202487300738,-0.00017516202487300738,-0.00017516202487300692,0.2
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,14.0,16384.0,1612.0,-0.0006203473945409418,-0.9999999999999982,6.449040569389632e-282,2.1034336493682986,2.1040539967628393,2.1034336493682986,2.1040539967628393,-0.0006203473945409431,1.2326096090968165e-18,-0.0006203473945409449,-0.0006203473945409449,-0.000620347394540943,-0.000620347394540943,-0.0006203473945409414,0.4
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,15.0,32768.0,3030.0,-0.0003300330033003307,-1.000000000000002,0.0,2.2268817153066163,2.2272117483099168,2.2268817153066163,2.2272117483099168,-0.0003300330033003295,1.0141782668591856e-19,-0.00033003300330032966,-0.00033003300330032966,-0.00033003300330032944,-0.00033003300330032944,-0.0003300330033003294,1.0
B1(11),11.0,2310.0,480.0,rank_mod_64,64.0,16.0,65536.0,5709.0,-0.00017516202487300746,-0.9999999999999996,0.0,2.3407989860311145,2.3409741480559876,2.3407989860311136,2.3409741480559862,-0.00017516202487300717,4.294248202948292e-19,-0.00017516202487300773,-0.00017516202487300773,-0.00017516202487300687,-0.00017516202487300687,-0.00017516202487300665,0.8
