null_index,exp,X,n,R_bits_per_gap
8,22,4194304.0,268216.0,-3.7283383541622762e-06
8,23,8388608.0,513708.0,-1.9466311601143e-06
8,24,16777216.0,985818.0,-1.0143860225721342e-06
8,25,33554432.0,1894120.0,-5.279496547209361e-07
8,26,67108864.0,3645744.0,-2.7429243523406903e-07
9,15,32768.0,3030.0,-0.0003300330033003293
9,16,65536.0,5709.0,-0.00017516202487300687
9,17,131072.0,10749.0,-9.303190994511098e-05
9,18,262144.0,20390.0,-4.904364884747472e-05
9,19,524288.0,38635.0,-2.588326646822811e-05
9,20,1048576.0,73586.0,-1.3589541488869954e-05
9,21,2097152.0,140336.0,-7.125755330064898e-06
9,22,4194304.0,268216.0,-3.7283383541622483e-06
9,23,8388608.0,513708.0,-1.9466311601143347e-06
9,24,16777216.0,985818.0,-1.0143860225721251e-06
9,25,33554432.0,1894120.0,-5.27949654720927e-07
9,26,67108864.0,3645744.0,-2.742924352340722e-07
10,15,32768.0,3030.0,-0.00033003300330032874
10,16,65536.0,5709.0,-0.0001751620248730071
10,17,131072.0,10749.0,-9.303190994511101e-05
10,18,262144.0,20390.0,-4.904364884747406e-05
10,19,524288.0,38635.0,-2.588326646822862e-05
10,20,1048576.0,73586.0,-1.3589541488869893e-05
10,21,2097152.0,140336.0,-7.12575533006493e-06
10,22,4194304.0,268216.0,-3.72833835416223e-06
10,23,8388608.0,513708.0,-1.946631160114251e-06
10,24,16777216.0,985818.0,-1.014386022572126e-06
10,25,33554432.0,1894120.0,-5.279496547209261e-07
10,26,67108864.0,3645744.0,-2.742924352340714e-07
11,15,32768.0,3030.0,-0.00033003300330033096
11,16,65536.0,5709.0,-0.0001751620248730075
11,17,131072.0,10749.0,-9.30319099451094e-05
11,18,262144.0,20390.0,-4.904364884747367e-05
11,19,524288.0,38635.0,-2.5883266468228243e-05
11,20,1048576.0,73586.0,-1.3589541488870144e-05
11,21,2097152.0,140336.0,-7.125755330064943e-06
11,22,4194304.0,268216.0,-3.7283383541623105e-06
11,23,8388608.0,513708.0,-1.9466311601143085e-06
11,24,16777216.0,985818.0,-1.0143860225721054e-06
11,25,33554432.0,1894120.0,-5.279496547209079e-07
11,26,67108864.0,3645744.0,-2.74292435234074e-07
12,15,32768.0,3030.0,-0.0003300330033003284
12,16,65536.0,5709.0,-0.00017516202487300782
12,17,131072.0,10749.0,-9.303190994511219e-05
12,18,262144.0,20390.0,-4.904364884747451e-05
12,19,524288.0,38635.0,-2.5883266468228413e-05
12,20,1048576.0,73586.0,-1.3589541488869936e-05
12,21,2097152.0,140336.0,-7.12575533006512e-06
12,22,4194304.0,268216.0,-3.7283383541623516e-06
12,23,8388608.0,513708.0,-1.9466311601142877e-06
12,24,16777216.0,985818.0,-1.014386022572108e-06
12,25,33554432.0,1894120.0,-5.279496547209434e-07
12,26,67108864.0,3645744.0,-2.742924352340698e-07
13,15,32768.0,3030.0,-0.00033003300330033
13,16,65536.0,5709.0,-0.00017516202487300773
13,17,131072.0,10749.0,-9.303190994511101e-05
13,18,262144.0,20390.0,-4.904364884747448e-05
13,19,524288.0,38635.0,-2.5883266468228165e-05
13,20,1048576.0,73586.0,-1.358954148887006e-05
13,21,2097152.0,140336.0,-7.1257553300649725e-06
13,22,4194304.0,268216.0,-3.728338354162312e-06
13,23,8388608.0,513708.0,-1.9466311601142386e-06
13,24,16777216.0,985818.0,-1.0143860225721156e-06
13,25,33554432.0,1894120.0,-5.279496547209278e-07
13,26,67108864.0,3645744.0,-2.7429243523406887e-07
14,15,32768.0,3030.0,-0.00033003300330033063
14,16,65536.0,5709.0,-0.00017516202487300676
