null_index,exp,X,n,R_bits_per_gap
8,22,4194304.0,268216.0,-3.728338354162304e-06
8,23,8388608.0,513708.0,-1.9466311601143004e-06
8,24,16777216.0,985818.0,-1.0143860225721213e-06
8,25,33554432.0,1894120.0,-5.279496547209234e-07
8,26,67108864.0,3645744.0,-2.742924352340711e-07
9,15,32768.0,3030.0,-0.0003300330033003301
9,16,65536.0,5709.0,-0.00017516202487300733
9,17,131072.0,10749.0,-9.303190994511082e-05
9,18,262144.0,20390.0,-4.9043648847474005e-05
9,19,524288.0,38635.0,-2.5883266468228213e-05
9,20,1048576.0,73586.0,-1.3589541488870102e-05
9,21,2097152.0,140336.0,-7.125755330065005e-06
9,22,4194304.0,268216.0,-3.7283383541623135e-06
9,23,8388608.0,513708.0,-1.9466311601142928e-06
9,24,16777216.0,985818.0,-1.014386022572113e-06
9,25,33554432.0,1894120.0,-5.279496547209264e-07
9,26,67108864.0,3645744.0,-2.742924352340719e-07
10,15,32768.0,3030.0,-0.00033003300330032977
10,16,65536.0,5709.0,-0.0001751620248730075
10,17,131072.0,10749.0,-9.303190994511145e-05
10,18,262144.0,20390.0,-4.904364884747431e-05
10,19,524288.0,38635.0,-2.588326646822826e-05
10,20,1048576.0,73586.0,-1.3589541488870202e-05
10,21,2097152.0,140336.0,-7.125755330064978e-06
10,22,4194304.0,268216.0,-3.7283383541623114e-06
10,23,8388608.0,513708.0,-1.9466311601143063e-06
10,24,16777216.0,985818.0,-1.0143860225721111e-06
10,25,33554432.0,1894120.0,-5.279496547209278e-07
10,26,67108864.0,3645744.0,-2.742924352340695e-07
11,15,32768.0,3030.0,-0.00033003300330032933
11,16,65536.0,5709.0,-0.00017516202487300744
11,17,131072.0,10749.0,-9.30319099451115e-05
11,18,262144.0,20390.0,-4.9043648847474384e-05
11,19,524288.0,38635.0,-2.5883266468228175e-05
11,20,1048576.0,73586.0,-1.3589541488870122e-05
11,21,2097152.0,140336.0,-7.125755330064992e-06
11,22,4194304.0,268216.0,-3.728338354162321e-06
11,23,8388608.0,513708.0,-1.9466311601143135e-06
11,24,16777216.0,985818.0,-1.0143860225721215e-06
11,25,33554432.0,1894120.0,-5.279496547209259e-07
11,26,67108864.0,3645744.0,-2.7429243523407035e-07
12,15,32768.0,3030.0,-0.00033003300330033063
12,16,65536.0,5709.0,-0.0001751620248730074
12,17,131072.0,10749.0,-9.303190994511093e-05
12,18,262144.0,20390.0,-4.904364884747426e-05
12,19,524288.0,38635.0,-2.5883266468228196e-05
12,20,1048576.0,73586.0,-1.3589541488870178e-05
12,21,2097152.0,140336.0,-7.125755330064978e-06
12,22,4194304.0,268216.0,-3.728338354162326e-06
12,23,8388608.0,513708.0,-1.946631160114309e-06
12,24,16777216.0,985818.0,-1.0143860225721154e-06
12,25,33554432.0,1894120.0,-5.279496547209227e-07
12,26,67108864.0,3645744.0,-2.7429243523406966e-07
13,15,32768.0,3030.0,-0.00033003300330032955
13,16,65536.0,5709.0,-0.00017516202487300733
13,17,131072.0,10749.0,-9.303190994511119e-05
13,18,262144.0,20390.0,-4.904364884747414e-05
13,19,524288.0,38635.0,-2.5883266468228175e-05
13,20,1048576.0,73586.0,-1.358954148887019e-05
