exp,X,n,R_bits_per_gap,B1_exact_bits_per_gap,U1_exact_bits_per_gap,B1_bucket_bits_per_gap,U1_bucket_bits_per_gap,null_mean,null_sd,null_p05,null_p95,z_vs_null
15,32768.0,3030.0,-0.0003300330033003296,2.2268817153066163,2.2272117483099168,1.8678291177078878,1.868159150711188,-0.0003300330033003301,5.003312080950607e-19,-0.00033003300330033107,-0.00033003300330032944,0.9751360093567856
16,65536.0,5709.0,-0.00017516202487300787,2.3407989860311145,2.3409741480559876,1.9555517916005583,1.9557269536254314,-0.00017516202487300744,3.1332239134733175e-19,-0.00017516202487300784,-0.00017516202487300706,-1.3841362155105197
17,131072.0,10749.0,-9.303190994511115e-05,2.451310797890532,2.451403829800477,1.9931885012505661,1.9932815331605107,-9.303190994511117e-05,1.6382807460339074e-19,-9.303190994511138e-05,-9.303190994511094e-05,0.16544816496046777
18,262144.0,20390.0,-4.904364884747404e-05,2.5482424630296867,2.548291506678534,2.0531412248209437,2.053190268469791,-4.904364884747422e-05,1.2990588021653292e-19,-4.904364884747444e-05,-4.904364884747403e-05,1.4083974974956057
19,524288.0,38635.0,-2.588326646822828e-05,2.645104391691567,2.6451302749580354,2.0899119379634015,2.0899378212298703,-2.5883266468228247e-05,6.292009976836374e-20,-2.5883266468228324e-05,-2.588326646822815e-05,-0.5384816301134913
20,1048576.0,73586.0,-1.3589541488870198e-05,2.731673799752871,2.73168738929436,2.119798527730704,2.1198121172721924,-1.3589541488870178e-05,4.4014173516326376e-20,-1.3589541488870252e-05,-1.3589541488870115e-05,-0.46186919144494576
21,2097152.0,140336.0,-7.1257553300649776e-06,2.81495327850538,2.8149604042607104,2.15348875070376,2.15349587645909,-7.125755330064982e-06,2.396983515768454e-20,-7.12575533006502e-06,-7.125755330064946e-06,0.17668726999625364
22,4194304.0,268216.0,-3.7283383541623186e-06,2.893612067941753,2.8936157962801072,2.1967335545131212,2.1967372828514753,-3.728338354162311e-06,1.1808643853043441e-20,-3.7283383541623368e-06,-3.7283383541622965e-06,-0.6455691796754418
23,8388608.0,513708.0,-1.9466311601143114e-06,2.967941836512777,2.9679437831439373,2.1869195638920127,2.1869215105231725,-1.9466311601143042e-06,7.604830278490854e-21,-1.946631160114316e-06,-1.9466311601142936e-06,-0.9467377690235999
