baseline,y,W,phi_W,symbol,alphabet_size,exp,X,n,R_bits_per_gap,total_gain_bits,final_ctw_weight,B_exact_bits_per_gap,U_exact_bits_per_gap,B_symbol_bits_per_gap,U_symbol_bits_per_gap,null_mean,null_sd,null_min,null_p05,null_p50,null_p95,null_max,empirical_p_ge
B0,2.0,2.0,1.0,gap_mod_210,210.0,15.0,32768.0,3030.0,0.058755465763892144,178.0290612645932,1.0,3.734550497311372,3.67579503154747,3.7345504966258165,3.6757950308619227,-0.0003300330033003306,6.174957328176281e-19,-0.0003300330033003315,-0.0003300330033003315,-0.00033003300330033047,-0.00033003300330033047,-0.00033003300330032977,0.2
B0,2.0,2.0,1.0,gap_mod_210,210.0,16.0,65536.0,5709.0,0.12978483374721775,740.9416158628661,1.0,3.8303731867167756,3.700588352969573,3.830373183886064,3.7005883501388532,-0.00017516202487300782,8.165327318038244e-19,-0.00017516202487300885,-0.00017516202487300885,-0.00017516202487300706,-0.00017516202487300706,-0.00017516202487300698,0.2
B0,2.0,2.0,1.0,gap_mod_210,210.0,17.0,131072.0,10749.0,0.18860438560506543,2027.3085408688482,1.0,3.9248345594662375,3.7362301738611783,3.924834549674841,3.736230164069759,-9.303190994511132e-05,7.231260713897695e-19,-9.303190994511237e-05,-9.303190994511237e-05,-9.303190994511101e-05,-9.303190994511101e-05,-9.303190994511039e-05,0.2
B0,2.0,2.0,1.0,gap_mod_210,210.0,18.0,262144.0,20390.0,0.21642756199506047,4412.957989079283,1.0,4.00850325326717,3.792075691272123,4.008503223916087,3.792075661921024,-4.904364884747447e-05,4.751605700228307e-19,-4.904364884747521e-05,-4.904364884747521e-05,-4.9043648847474384e-05,-4.9043648847474384e-05,-4.904364884747388e-05,0.2
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,15.0,32768.0,3030.0,-0.00033003300330032977,-0.9999999999999991,0.0,2.2268817153066163,2.2272117483099168,2.2268817152961216,2.227211748299422,-0.00033003300330033036,4.119611594555581e-19,-0.0003300330033003309,-0.0003300330033003309,-0.0003300330033003301,-0.0003300330033003301,-0.0003300330033003299,0.2
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,16.0,65536.0,5709.0,-0.00017516202487300754,-1.0,0.0,2.3407989860311145,2.3409741480559876,2.3407989859514875,2.3409741479763606,-0.00017516202487300765,3.1200260564211747e-19,-0.0001751620248730081,-0.0001751620248730081,-0.0001751620248730074,-0.0001751620248730074,-0.00017516202487300733,0.6
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,17.0,131072.0,10749.0,-9.303190994511109e-05,-0.9999999999999991,0.0,2.451310797890532,2.451403829800477,2.4513107974512103,2.4514038293611553,-9.303190994511112e-05,1.4133018224838984e-19,-9.303190994511132e-05,-9.303190994511132e-05,-9.303190994511105e-05,-9.303190994511105e-05,-9.303190994511094e-05,0.6
B1(11),11.0,2310.0,480.0,gap_mod_210,210.0,18.0,262144.0,20390.0,-4.904364884747446e-05,-1.0000000000000042,0.0,2.5482424630296867,2.548291506678534,2.5482424611052097,2.548291504754057,-4.904364884747428e-05,5.025411569558018e-20,-4.9043648847474364e-05,-4.9043648847474364e-05,-4.904364884747424e-05,-4.904364884747424e-05,-4.904364884747424e-05,1.0
